averageRating	numVotes	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
8,1	101083	tt0118694	movie	In the Mood for Love	Faa yeung nin wa	0	2000	\N	98	Drama,Romance
7,7	15206	tt0120263	movie	Songs from the Second Floor	Sånger från andra våningen	0	2000	\N	98	Comedy,Drama
8,8	1455521	tt0120737	movie	The Lord of the Rings: The Fellowship of the Ring	The Lord of the Rings: The Fellowship of the Ring	0	2001	\N	178	Adventure,Drama,Fantasy
7,6	619565	tt0121766	movie	Star Wars: Episode III - Revenge of the Sith	Star Wars: Episode III - Revenge of the Sith	0	2005	\N	140	Action,Adventure,Fantasy
7,7	347571	tt0139654	movie	Training Day	Training Day	0	2001	\N	122	Crime,Drama,Thriller
7,6	417514	tt0144084	movie	American Psycho	American Psycho	0	2000	\N	101	Crime,Drama
7,8	458791	tt0162222	movie	Cast Away	Cast Away	0	2000	\N	143	Adventure,Drama,Romance
7,7	26786	tt0165832	movie	Interstate 60: Episodes of the Road	Interstate 60: Episodes of the Road	0	2002	\N	116	Adventure,Comedy,Drama
8,0	282861	tt0166924	movie	Mulholland Dr.	Mulholland Dr.	0	2001	\N	147	Drama,Mystery,Thriller
8,9	1438839	tt0167260	movie	The Lord of the Rings: The Return of the King	The Lord of the Rings: The Return of the King	0	2003	\N	201	Action,Adventure,Drama
8,7	1300755	tt0167261	movie	The Lord of the Rings: The Two Towers	The Lord of the Rings: The Two Towers	0	2002	\N	179	Adventure,Drama,Fantasy
8,5	1168650	tt0172495	movie	Gladiator	Gladiator	0	2000	\N	155	Action,Adventure,Drama
7,8	19038	tt0177858	movie	In July	Im Juli	0	2000	\N	99	Adventure,Comedy,Romance
8,3	679094	tt0180093	movie	Requiem for a Dream	Requiem for a Dream	0	2000	\N	102	Drama
7,7	457606	tt0181689	movie	Minority Report	Minority Report	0	2002	\N	145	Action,Crime,Mystery
7,6	183555	tt0181865	movie	Traffic	Traffic	0	2000	\N	147	Crime,Drama,Thriller
7,9	230504	tt0181875	movie	Almost Famous	Almost Famous	0	2000	\N	122	Adventure,Comedy,Drama
7,9	236043	tt0190332	movie	Crouching Tiger, Hidden Dragon	Wo hu cang long	0	2000	\N	120	Action,Adventure,Fantasy
7,8	256908	tt0190590	movie	O Brother, Where Art Thou?	O Brother, Where Art Thou?	0	2000	\N	107	Adventure,Comedy,Crime
7,8	6893	tt0196069	movie	Samsara	Samsara	0	2001	\N	145	Adventure,Drama,Romance
8,1	712114	tt0198781	movie	Monsters, Inc.	Monsters, Inc.	0	2001	\N	92	Adventure,Animation,Comedy
7,6	25581	tt0203230	movie	You Can Count on Me	You Can Count on Me	0	2000	\N	111	Drama
7,9	416163	tt0206634	movie	Children of Men	Children of Men	0	2006	\N	109	Drama,Sci-Fi,Thriller
8,3	698646	tt0208092	movie	Snatch	Snatch	0	2000	\N	104	Comedy,Crime
8,5	1001580	tt0209144	movie	Memento	Memento	0	2000	\N	113	Mystery,Thriller
8,0	3224	tt0209180	movie	Sky Hook	Nebeska udica	0	2000	\N	95	Drama,War
8,3	632935	tt0211915	movie	Amélie	Le fabuleux destin d'Amélie Poulain	0	2001	\N	122	Comedy,Romance
7,7	26098	tt0216651	movie	Vampire Hunter D: Bloodlust	Vampire Hunter D: Bloodlust	0	2000	\N	103	Action,Adventure,Animation
7,7	2494	tt0219288	movie	Loners	Samotári	0	2000	\N	103	Comedy
7,6	306800	tt0230600	movie	The Others	The Others	0	2001	\N	101	Horror,Mystery,Thriller
7,6	4131	tt0231001	movie	The Zookeeper	The Zookeeper	0	2001	\N	108	Drama,War
7,8	7109	tt0233841	movie	Baran	Baran	0	2001	\N	94	Drama,Romance
7,7	4554	tt0234288	movie	Divided We Fall	Musíme si pomáhat	0	2000	\N	120	Comedy,Drama,War
7,7	17202	tt0236027	movie	Flickering Lights	Blinkende lygter	0	2000	\N	109	Action,Comedy,Crime
7,9	9724	tt0238883	movie	Brother 2	Brat 2	0	2000	\N	122	Action,Crime,Thriller
7,8	13492	tt0240200	movie	Water	Water	0	2005	\N	117	Drama,Romance
7,8	462818	tt0240772	movie	Ocean's Eleven	Ocean's Eleven	0	2001	\N	116	Crime,Thriller
7,6	546585	tt0241527	movie	Harry Potter and the Sorcerer's Stone	Harry Potter and the Sorcerer's Stone	0	2001	\N	152	Adventure,Family,Fantasy
7,7	1489	tt0241663	movie	To the Left of the Father	Lavoura Arcaica	0	2001	\N	163	Drama
8,2	46017	tt0242519	movie	Fraud Business	Hera Pheri	0	2000	\N	156	Action,Comedy,Crime
7,6	2169	tt0242572	movie	Kandukondain Kandukondain	Kandukondain Kandukondain	0	2000	\N	151	Drama,Romance
