averageRating	numVotes	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
7,1	2135	tt0069049	movie	The Other Side of the Wind	The Other Side of the Wind	0	2018	\N	122	Comedy,Drama
7,7	23	tt0108549	movie	West from North Goes South	West from North Goes South	0	2004	\N	96	Comedy,Mystery
8,8	1452402	tt0120737	movie	The Lord of the Rings: The Fellowship of the Ring	The Lord of the Rings: The Fellowship of the Ring	0	2001	\N	178	Adventure,Drama,Fantasy
7,6	618365	tt0121766	movie	Star Wars: Episode III - Revenge of the Sith	Star Wars: Episode III - Revenge of the Sith	0	2005	\N	140	Action,Adventure,Fantasy
7,1	86647	tt0133240	movie	Treasure Planet	Treasure Planet	0	2002	\N	95	Adventure,Animation,Family
7,7	346981	tt0139654	movie	Training Day	Training Day	0	2001	\N	122	Crime,Drama,Thriller
7,3	620825	tt0145487	movie	Spider-Man	Spider-Man	0	2002	\N	121	Action,Adventure,Sci-Fi
7,1	148	tt0160275	movie	Final Solution	Final Solution	0	2001	\N	102	Action,Drama
7,4	105216	tt0162346	movie	Ghost World	Ghost World	0	2001	\N	111	Comedy,Drama
7,7	26721	tt0165832	movie	Interstate 60: Episodes of the Road	Interstate 60: Episodes of the Road	0	2002	\N	116	Adventure,Comedy,Drama
7,1	613	tt0166709	movie	Posthumous Memories	Memórias Póstumas	0	2001	\N	101	Comedy,Drama
8,0	282258	tt0166924	movie	Mulholland Dr.	Mulholland Dr.	0	2001	\N	147	Drama,Mystery,Thriller
8,9	1435743	tt0167260	movie	The Lord of the Rings: The Return of the King	The Lord of the Rings: The Return of the King	0	2003	\N	201	Action,Adventure,Drama
8,7	1297902	tt0167261	movie	The Lord of the Rings: The Two Towers	The Lord of the Rings: The Two Towers	0	2002	\N	179	Adventure,Drama,Fantasy
7,1	3059	tt0172543	movie	He Died with a Felafel in His Hand	He Died with a Felafel in His Hand	0	2001	\N	107	Comedy,Romance
7,2	117	tt0180894	movie	Odmazda	Odmazda	0	2001	\N	103	Drama,War
7,7	456812	tt0181689	movie	Minority Report	Minority Report	0	2002	\N	145	Action,Adventure,Crime
7,1	15	tt0184387	movie	Dead Man's Dream	Dead Man's Dream	0	2002	\N	100	Drama,Mystery
7,1	93	tt0191161	movie	Light Drops	O Gotejar da Luz	0	2002	\N	103	Drama
7,2	25	tt0193365	movie	Orphan	Orphan	0	2001	\N	99	Drama
