averageRating	numVotes	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
8,8	315517	tt0475784	tvSeries	Westworld	Westworld	0	2016	\N	62	Drama,Mystery,Sci-Fi
9,5	1379058	tt0944947	tvSeries	Game of Thrones	Game of Thrones	0	2011	\N	57	Action,Adventure,Drama
8,3	10904	tt1043813	tvSeries	Titans	Titans	0	2018	\N	45	Action,Adventure,Drama
8,6	62980	tt1305826	tvSeries	Adventure Time	Adventure Time with Finn & Jake	0	2010	2018	11	Action,Adventure,Animation
8,2	56242	tt1399664	tvSeries	The Night Manager	The Night Manager	0	2016	2018	358	Crime,Drama,Mystery
8,2	27405	tt1416765	tvSeries	Parenthood	Parenthood	0	2010	2015	60	Comedy,Drama
8,5	95090	tt1474684	tvSeries	Luther	Luther	0	2010	2019	60	Crime,Drama,Mystery
9,2	670809	tt1475582	tvSeries	Sherlock	Sherlock	0	2010	\N	88	Crime,Drama,Mystery
8,6	74802	tt1489428	tvSeries	Justified	Justified	0	2010	2015	44	Action,Crime,Drama
8,3	25667	tt1492179	tvSeries	Strike Back	Strike Back	0	2010	2019	45	Action,Drama,Thriller
8,6	69312	tt1492966	tvSeries	Louie	Louie	0	2010	2015	22	Comedy,Drama
8,1	13089	tt1515193	tvSeries	The Big C	The Big C	0	2010	2013	30	Comedy,Drama
8,4	761354	tt1520211	tvSeries	The Walking Dead	The Walking Dead	0	2010	\N	44	Drama,Horror,Sci-Fi
8,5	14338	tt1526318	tvSeries	Borgen	Borgen	0	2010	2013	58	Drama
8,1	53212	tt1561755	tvSeries	Bob's Burgers	Bob's Burgers	0	2011	\N	22	Animation,Comedy
8,7	159861	tt1586680	tvSeries	Shameless	Shameless	0	2011	\N	46	Comedy,Drama
8,7	136933	tt1606375	tvSeries	Downton Abbey	Downton Abbey	0	2010	2015	58	Drama,Romance
8,1	41833	tt1610527	tvSeries	Workaholics	Workaholics	0	2011	2017	22	Comedy
8,3	11553	tt1626038	tvSeries	The Avengers: Earth's Mightiest Heroes	The Avengers: Earth's Mightiest Heroes	0	2010	2012	30	Action,Animation,Family
8,6	313937	tt1632701	tvSeries	Suits	Suits	0	2011	\N	44	Comedy,Drama
8,3	85986	tt1637727	tvSeries	The Killing	The Killing	0	2011	2014	45	Crime,Drama,Mystery
8,7	25063	tt1641384	tvSeries	Young Justice	Young Justice	0	2010	\N	23	Action,Adventure,Animation
8,5	81912	tt1695360	tvSeries	The Legend of Korra	The Legend of Korra	0	2012	2014	23	Action,Adventure,Animation
8,3	43478	tt1699748	tvSeries	Hell on Wheels	Hell on Wheels	0	2011	2016	42	Drama,Western
8,7	45761	tt1733785	tvSeries	Bron/Broen	Bron/Broen	0	2011	2018	60	Crime,Mystery,Thriller
8,1	61704	tt1740299	tvSeries	The Man in the High Castle	The Man in the High Castle	0	2015	\N	60	Drama,Sci-Fi,Thriller
8,2	33752	tt1759761	tvSeries	Veep	Veep	0	2012	\N	28	Comedy
8,7	22346	tt1795096	tvSeries	Behzat Ç.: Bir Ankara Polisiyesi	Behzat Ç.: Bir Ankara Polisiyesi	0	2010	2013	90	Crime,Drama,Mystery
8,3	271463	tt1796960	tvSeries	Homeland	Homeland	0	2011	\N	55	Crime,Drama,Mystery
9,2	81380	tt1831164	tvSeries	Leyla and Mecnun	Leyla ile Mecnun	0	2011	2014	80	Adventure,Comedy,Drama
8,1	16310	tt1833285	tvSeries	Boss	Boss	0	2011	2012	56	Crime,Drama
8,3	24871	tt1836037	tvSeries	Longmire	Longmire	0	2012	2017	60	Action,Crime,Drama
8,1	195876	tt1837492	tvSeries	13 Reasons Why	13 Reasons Why	0	2017	\N	60	Drama,Mystery
8,4	149781	tt1839578	tvSeries	Person of Interest	Person of Interest	0	2011	2016	43	Action,Crime,Drama
8,1	241238	tt1844624	tvSeries	American Horror Story	American Horror Story	0	2011	\N	60	Drama,Horror,Thriller
8,9	415610	tt1856010	tvSeries	House of Cards	House of Cards	0	2013	2018	51	Drama
8,9	47428	tt1865718	tvSeries	Gravity Falls	Gravity Falls	0	2012	2016	23	Adventure,Animation,Comedy
8,6	93462	tt1870479	tvSeries	The Newsroom	The Newsroom	0	2012	2014	55	Drama
8,1	51647	tt1898069	tvSeries	American Gods	American Gods	0	2017	\N	60	Drama,Fantasy,Mystery
8,9	25362	tt1909015	tvSeries	Undercover	Pod prikritie	0	2011	2016	60	Action,Crime,Drama
8,7	30043	tt1910272	tvSeries	Steins;Gate	Steins;Gate	0	2011	2015	24	Animation,Comedy,Drama
8,2	14706	tt1942683	tvSeries	The Amazing World of Gumball	The Amazing World of Gumball	0	2011	\N	11	Animation,Comedy,Family
8,3	13422	tt1981558	tvSeries	Key and Peele	Key and Peele	0	2012	2015	30	Comedy
