averageRating	numVotes	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
7,7	161	tt0111056	tvSeries	Gensomaden Saiyuki	Gensomaden Saiyuki	0	2000	2001	\N	Action,Adventure,Animation
8,3	12952	tt0160904	tvSeries	MI-5	Spooks	0	2002	2011	60	Drama,Thriller
8,0	70	tt0187621	tvSeries	Beast	Beast	0	2000	2001	29	Comedy
8,1	250	tt0188340	tvSeries	Kamen Rider Kuuga	Kamen Raidâ Kûga	0	2000	2001	\N	Action,Drama,Fantasy
7,3	48	tt0195896	tvSeries	M.Y.O.B.	M.Y.O.B.	0	2000	\N	30	Comedy
7,2	45	tt0196274	tvSeries	Nebbia in Val Padana	Nebbia in Val Padana	0	2000	\N	50	Comedy,Thriller
7,7	33	tt0199205	tvSeries	Connect with English	Connect with English	0	2007	\N	30	Drama
8,4	1272	tt0199421	tvSeries	Higher Ground	Higher Ground	0	2000	\N	60	Drama,Family
8,0	32	tt0202190	tvSeries	In a Land of Plenty	In a Land of Plenty	0	2001	\N	50	Drama
7,4	28230	tt0204993	tvSeries	Dark Angel	Dark Angel	0	2000	2002	60	Action,Drama,Mystery
7,6	5140	tt0205700	tvSeries	Titus	Titus	0	2000	2002	23	Comedy,Drama
7,7	12305	tt0206511	tvSeries	Even Stevens	Even Stevens	0	2000	2003	30	Comedy,Family
7,1	15	tt0207881	tvSeries	Daring & Grace: Teen Detectives	Daring & Grace: Teen Detectives	0	2000	\N	\N	Family,Mystery
8,2	85	tt0207888	tvSeries	High Hopes	High Hopes	0	2002	\N	30	Comedy,Crime
7,6	9	tt0207927	tvSeries	Talk to Me	Talk to Me	0	2000	\N	30	Comedy
7,5	129	tt0209557	tvSeries	Wonderland	Wonderland	0	2000	\N	50	Drama
7,7	404	tt0209665	tvSeries	Caitlin's Way	Caitlin's Way	0	2000	2002	\N	Drama
7,4	11256	tt0210413	tvSeries	Clerks	Clerks	0	2000	2001	22	Animation,Comedy
8,0	106681	tt0212671	tvSeries	Malcolm in the Middle	Malcolm in the Middle	0	2000	2006	22	Comedy,Family
7,5	803	tt0214354	tvSeries	Zoids	Kijû shinseiki Zoid	0	2001	\N	\N	Action,Animation,Fantasy
7,8	12	tt0215423	tvSeries	Introducing Gary Petty	Introducing Gary Petty	0	2000	\N	30	Comedy,Drama
7,5	65	tt0217196	tvSeries	Darüber lacht die Welt	Darüber lacht die Welt	0	2000	\N	\N	Comedy
7,3	43	tt0218750	tvSeries	Capitão Roby	Capitão Roby	0	2000	\N	\N	Drama
7,8	1361	tt0220178	tvSeries	Young Americans	Young Americans	0	2000	\N	60	Drama
7,6	2671	tt0220238	tvSeries	The Invisible Man	The Invisible Man	0	2000	2002	120	Comedy,Sci-Fi,Thriller
8,2	2642	tt0220261	tvSeries	Unit 1	Rejseholdet	0	2000	2004	75	Action,Crime,Drama
7,9	2437	tt0220906	tvSeries	Jack of All Trades	Jack of All Trades	0	2000	2000	30	Action,Adventure,Comedy
7,6	836	tt0221751	tvSeries	God, the Devil and Bob	God, the Devil and Bob	0	2000	2000	30	Animation,Comedy
7,6	13	tt0222564	tvSeries	De geheime dienst	De geheime dienst	0	2000	\N	\N	Drama,Thriller
7,2	13	tt0222589	tvSeries	Todo por amor	Todo por amor	0	2000	\N	\N	Drama
7,2	168	tt0224827	tvSeries	Friends Forever	Amigos X siempre	0	2000	\N	60	Adventure,Family
7,2	120	tt0227956	tvSeries	Strip Mall	Strip Mall	0	2000	2001	30	Comedy
7,5	440	tt0229132	tvSeries	Grizzly Tales for Gruesome Kids	Grizzly Tales for Gruesome Kids	0	2000	\N	56	Animation,Comedy,Family
8,2	264	tt0229898	tvSeries	Fortier	Fortier	0	2001	\N	40	Thriller
7,8	583	tt0229916	tvSeries	The Others	The Others	0	2000	\N	60	Drama,Horror,Mystery
8,6	1133	tt0229924	tvSeries	Raid	Raid	0	2000	\N	504	Crime,Drama
7,5	50	tt0231045	tvSeries	Siempre te amaré	Siempre te amaré	0	2000	\N	45	Drama,Romance
7,6	1218	tt0231048	tvSeries	That Peter Kay Thing	That Peter Kay Thing	0	2000	\N	30	Comedy
8,4	91	tt0233025	tvSeries	Crazy in Love	Locura de amor	0	2000	\N	45	Romance
7,3	34	tt0233050	tvSeries	Esplendor	Esplendor	0	2000	\N	45	Drama,Romance
7,3	103	tt0233052	tvSeries	Falcone	Falcone	0	2000	\N	60	Crime,Drama
7,2	279	tt0233092	tvSeries	Embrace Me Tightly	Abrázame muy fuerte	0	2000	2001	45	Drama,Romance
7,2	18	tt0233106	tvSeries	Les shadoks et le Big Blank	Les shadoks et le Big Blank	0	2000	\N	2	Animation,Comedy
7,4	156	tt0233491	tvSeries	Cover Me: Based on the True Life of an FBI Family	Cover Me: Based on the True Life of an FBI Family	0	2000	2001	60	Crime,Drama,Family
7,3	661	tt0235119	tvSeries	Casshern Sins	Casshern Sins	0	2008	\N	24	Action,Adventure,Animation
7,1	4622	tt0235911	tvSeries	As Told by Ginger	As Told by Ginger	0	2000	2006	30	Animation,Family
7,2	27589	tt0235918	tvSeries	The Fairly OddParents	The Fairly OddParents	0	2001	2017	30	Animation,Comedy,Family
8,7	1227	tt0235922	tvSeries	In de Gloria	In de Gloria	0	2000	2002	30	Comedy
8,3	17433	tt0235923	tvSeries	Invader ZIM	Invader ZIM	0	2001	2004	24	Animation,Comedy,Family
7,5	44	tt0235938	tvSeries	Noah Knows Best	Noah Knows Best	0	2000	\N	\N	Comedy
7,1	527	tt0235947	tvSeries	Taina	Taina	0	2001	2002	30	Comedy,Family
7,5	124	tt0236041	tvSeries	Bull	Bull	0	2000	\N	60	Drama
7,7	30	tt0236904	tvSeries	...Ystera, irthan oi melisses	...Ystera, irthan oi melisses	0	2000	2000	45	Drama
8,6	80	tt0236910	tvSeries	Mirai sentai Timeranger	Mirai sentai Timeranger	0	2000	2001	24	Action,Crime,Drama
8,6	39367	tt0237123	tvSeries	Coupling	Coupling	0	2000	2004	30	Comedy,Romance
7,1	370	tt0237971	tvSeries	Sincerely Yours in Cold Blood	Kylmäverisesti sinun	0	2000	2005	60	Crime,Drama
7,9	9	tt0237978	tvSeries	Olli, Tiere, Sensationen	Olli, Tiere, Sensationen	0	2000	\N	30	Comedy
8,2	2003	tt0237987	tvSeries	The Weekenders	The Weekenders	0	2000	2004	15	Animation,Comedy,Family
8,1	83753	tt0238784	tvSeries	Gilmore Girls	Gilmore Girls	0	2000	2007	44	Comedy,Drama
7,7	2257	tt0238793	tvSeries	Monarch of the Glen	Monarch of the Glen	0	2000	2005	60	Comedy,Drama,Romance
8,1	203	tt0238796	tvSeries	Perfect World	Perfect World	0	2000	2001	30	Comedy
8,4	365	tt0239174	tvSeries	In a Heartbeat	In a Heartbeat	0	2000	2001	60	Drama
7,8	232	tt0239330	tvSeries	Dead Last	Dead Last	0	2001	\N	60	Comedy,Drama,Fantasy
7,9	15	tt0240258	tvSeries	Big Meg, Little Meg	Big Meg, Little Meg	0	2000	2001	\N	Comedy,Family,Fantasy
7,5	105	tt0240886	tvSeries	Scénarios sur la drogue	Scénarios sur la drogue	0	2000	\N	113	Drama,Mystery
7,3	10	tt0241089	tvSeries	Aus gutem Haus	Aus gutem Haus	0	2000	\N	50	Family
7,2	70	tt0242208	tvSeries	Jardins Proibidos	Jardins Proibidos	0	2000	\N	\N	Drama
8,2	87	tt0242231	tvSeries	Romané	Romané	0	2000	\N	60	Comedy,Drama,Romance
7,9	4244	tt0242949	tvSeries	The Tick	The Tick	0	2001	2002	23	Action,Comedy,Sci-Fi
7,4	4506	tt0243069	tvSeries	The Lone Gunmen	The Lone Gunmen	0	2001	2001	45	Comedy,Drama,Mystery
